name,url,price,rating,number of reviews,description,asin,manufacturer
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTUyNzQ4NTgwNzU4NDk3OjE2NzU0NDMyODI6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443282%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,169",3.9 out of 5 stars,684,not available,B01LXNNFDF,Visit the Urban Tribe Store
Lavie Sport Chairman Director Business Laptop Bags | Premium Leatherette Business Backpacks for Men & Women | Durable Office Bag for Notebook/MacBook ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTUyNzQ4NTgwNzU4NDk3OjE2NzU0NDMyODI6c3BfYXRmOjIwMTA4NTk1NTk4MDk4OjowOjo&url=%2FLavie-Sport-Chairman-Compatible-compartments%2Fdp%2FB0B45SWK51%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443282%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,099",4.1 out of 5 stars,577," 
",B0B45SWK51,Visit the Lavie Sport Store
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) ,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-3,"1,199",4.1 out of 5 stars,"51,380",not available,B07CJCGM1M,Visit the American Tourister Store
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) ,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-4,565,4.3 out of 5 stars,"9,233",not available,B084JGJ8PF,Brand: Wesley
Skybags Brat Black 46 Cms Casual Backpack ,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-5,669,4.1 out of 5 stars,"3,373",not available,B08Z1HHHTD,Visit the Skybags Store
Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Konggi Rabbit & Spiderman ,https://www.amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B097NH6X4C/ref=sxin_15_trfob_0_B097NH6X4C?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NH6X4C&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,399,4.2 out of 5 stars,7,not available,,not available
Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_15_trfob_1_B08WWG91Q3?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a,399,4.0 out of 5 stars,4,not available,B08WWG91Q3,Visit the Blue Tree Store
Blue Tree 10 LTR Velvet School Backpack ,https://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF/ref=sxin_15_trfob_2_B07HLYW3FF?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07HLYW3FF&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,288,4.0 out of 5 stars,"1,044",not available,B07HLYW3FF,Visit the Blue Tree Store
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent ",https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_15_trfob_3_B09SB5DP5Y?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,295,4.3 out of 5 stars,46,not available,B09SB5DP5Y,not available
Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment ,https://www.amazon.in/Amazon-Brand-Solimo-so_flingyrqba_6-Gym/dp/B084DQ182R/ref=sxin_15_trfob_4_B084DQ182R?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B084DQ182R&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86a,399,4.2 out of 5 stars,93," 
 From workout gear, fitness accessories and gym essentials, you have place for everything with the Solimo Polyester Duffel Gym Bag. This exercise companion is made of 100% polyester fabric that is water repellant. With a high-quality zipper performing 500 test cycles and a total of 19 individual product tests, this duffel gym bag is quality built. You have place for your gym towel, spare set of clothes, shoes, water bottle, protein shaker as well gym bands, grips and accessories. The Solimo Polyester Duffel Gym Bag is spaciously designed and comes in a stylish red colour. With a shoulder strap and haul handles you can decide on a convenient carrying option. A separate shoe compartment keeps your gym shoes away from other items in your bag. When your hands are full, a key compartment comes handy for easy access. This duffel gym bag is ideal for teenagers and adults, and is suited for gym and exercise activities, weekend getaways and light travels.  ",B084DQ182R,Brand: Amazon Brand - Solimo
